@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
36,A34,9566,31,A142,2,A191,1
18,A32,1961,23,A143,1,A191,1
24,A32,3181,26,A143,1,A192,1
12,A32,1007,22,A143,1,A191,1
36,A32,1819,37,A142,1,A192,2
36,A32,12612,47,A143,1,A192,2
24,A34,3617,20,A143,2,A191,1
24,A32,7721,30,A143,1,A192,1
27,A33,8613,27,A143,2,A191,1
27,A32,3416,27,A143,1,A191,1
11,A32,1577,20,A143,1,A191,1
12,A32,951,27,A141,4,A191,2
27,A30,5293,50,A142,2,A192,2
12,A32,2251,46,A143,1,A191,1
12,A32,1574,50,A143,1,A191,1
15,A34,1520,63,A143,1,A191,1
48,A33,7582,31,A143,1,A192,1
12,A32,4675,20,A143,1,A191,1
6,A32,672,54,A143,1,A192,1
48,A34,10127,44,A141,1,A191,2
9,A32,276,22,A143,1,A191,1
12,A32,685,25,A141,1,A191,2
30,A34,4249,28,A143,2,A191,2
24,A32,4169,28,A143,1,A191,1
9,A32,959,29,A143,1,A191,2
36,A32,14318,57,A143,1,A192,2
24,A33,8648,27,A141,2,A192,2
24,A34,2197,43,A143,2,A192,1
12,A32,2028,30,A143,1,A191,1
12,A32,1424,55,A143,1,A192,1
18,A32,4594,32,A143,1,A192,1
36,A32,3620,37,A143,1,A191,1
9,A32,654,28,A143,1,A191,2
30,A32,3622,57,A143,2,A192,1
10,A32,1418,35,A143,1,A191,1
24,A32,2255,54,A143,1,A191,1
6,A34,1361,40,A143,1,A191,1
48,A32,7763,42,A141,1,A191,2
18,A32,3049,45,A142,1,A191,1
30,A32,6350,31,A143,1,A191,2
48,A32,6758,31,A143,1,A192,2
24,A32,2718,20,A143,1,A192,2
15,A32,1300,45,A141,1,A191,1
48,A32,3914,38,A141,1,A191,2
12,A32,1858,22,A143,1,A191,1
18,A32,2600,65,A143,2,A191,2
18,A34,1880,32,A143,2,A192,1
12,A32,684,40,A143,1,A191,2
12,A32,1297,23,A143,1,A191,1
30,A31,3496,34,A142,1,A192,1
48,A31,3609,27,A142,1,A191,1
72,A32,5595,24,A143,1,A191,2
30,A33,2503,41,A142,2,A191,1
27,A32,2528,32,A143,1,A192,1
12,A30,2969,25,A143,2,A191,2
6,A31,1198,35,A143,1,A191,2
24,A32,2603,28,A143,1,A192,1
6,A34,6761,45,A143,2,A192,1
12,A34,691,35,A143,2,A191,2
15,A34,5045,59,A143,1,A192,1
30,A32,3108,31,A143,1,A191,2
24,A32,2812,26,A143,1,A191,1
9,A32,1549,35,A143,1,A191,1
18,A34,1795,48,A141,2,A192,1
12,A34,976,35,A143,2,A191,1
6,A32,590,26,A143,1,A191,1
8,A32,907,26,A143,1,A192,1
6,A34,1554,24,A143,2,A192,1
8,A34,731,47,A143,2,A191,1
18,A34,3780,35,A143,2,A192,1
24,A32,5084,42,A143,1,A192,1
12,A30,1082,48,A141,2,A191,2
18,A32,3422,47,A141,3,A192,1
24,A34,4042,43,A143,2,A192,1
10,A32,894,40,A143,1,A192,1
15,A34,3343,28,A143,1,A192,1
24,A34,5804,27,A143,2,A191,1
18,A32,2389,27,A142,1,A191,1
36,A32,7409,37,A143,2,A191,1
12,A32,652,24,A143,1,A191,1
30,A34,6742,36,A143,2,A191,1
18,A34,1098,65,A143,2,A191,1
18,A34,1169,29,A143,2,A192,1
21,A32,2606,28,A143,1,A192,1
15,A32,2186,33,A141,1,A191,1
36,A34,10477,42,A143,2,A191,1
21,A32,3763,24,A143,1,A191,1
15,A33,3594,46,A143,2,A191,1
11,A32,2142,28,A143,1,A192,1
24,A31,6872,55,A141,1,A192,2
9,A34,1224,30,A143,2,A191,1
24,A31,3349,30,A143,1,A192,2
28,A32,4006,45,A143,1,A191,2
15,A32,3556,29,A143,1,A191,1
42,A32,7166,29,A143,1,A192,1
24,A31,1193,29,A143,2,A191,2
60,A32,7297,36,A143,1,A191,2
13,A32,1409,64,A143,1,A191,1
45,A32,1845,23,A143,1,A192,2
45,A34,4576,27,A143,1,A191,1
