@relation german

@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Age numeric
@attribute Customer {1,2}

@data
A42,24,1
A40,28,1
A43,57,1
A46,49,1
A42,41,1
A40,40,1
A40,44,1
A41,30,1
A41,46,1
A41,63,1
A42,26,1
A40,36,1
A40,38,1
A42,24,1
A40,48,1
A40,43,1
A40,26,1
A46,32,1
A43,38,1
A43,23,1
A43,47,1
A49,27,1
A49,36,1
A42,30,1
A42,23,1
A49,27,1
A43,25,1
A46,33,1
A40,37,1
A42,25,1
A43,59,1
A43,28,1
A43,42,1
A41,23,1
A41,35,1
A42,49,1
A43,51,1
A41,26,1
A49,32,1
A41,31,1
A40,41,1
A42,22,1
A41,38,1
A41,34,1
A49,38,1
A40,31,1
A49,41,1
A43,47,1
A43,26,1
A42,57,1
A41,38,1
A43,47,1
A42,20,1
A44,24,1
A43,33,1
A43,28,1
A42,28,1
A40,40,1
A43,31,1
A43,48,1
A42,46,1
A49,48,1
A42,32,1
A43,28,1
A44,26,1
A43,47,1
A42,27,1
A43,32,1
A40,20,1
A43,33,1
A44,37,1
A43,53,1
A40,37,1
A42,28,1
A49,46,1
A45,25,1
A43,35,1
A49,31,1
A43,44,1
A41,45,1
A49,28,1
A41,36,1
A43,36,1
A42,63,1
A41,41,1
A41,39,1
A40,22,1
A41,22,1
A49,31,1
A42,34,1
A49,42,1
A43,40,1
A43,52,1
A42,35,1
A40,37,1
A49,36,1
A49,34,1
A40,47,1
A43,40,1
A40,49,1
A43,45,1
A43,31,1
A43,28,1
A41,31,1
A40,32,1
A40,41,1
A43,39,1
A40,60,1
A43,26,1
A42,37,1
A40,36,1
A41,46,1
A43,34,1
A40,35,1
A43,34,1
A43,52,1
A40,23,1
A42,53,1
A40,22,1
A42,20,1
A43,27,1
A40,28,1
A43,57,1
A49,35,1
A43,26,1
A43,26,1
A43,23,1
A42,22,1
A43,30,1
A41,34,1
A41,41,1
A49,37,1
A40,39,1
A40,65,1
A43,30,1
A43,42,1
A42,39,1
A41,29,1
A42,22,1
A42,33,1
A43,31,1
A46,37,1
A43,26,1
A43,64,1
A42,35,1
A49,43,1
A40,39,1
A42,37,1
A49,24,1
A43,25,1
A42,35,1
A40,35,1
A49,25,1
A43,24,1
A41,40,1
A40,50,1
A43,22,1
A42,49,1
A43,25,1
A43,52,1
A40,44,1
A41,36,1
A40,37,1
A41,30,1
A40,30,1
A43,20,1
A42,27,1
A46,46,1
A42,31,1
A42,22,1
A41,28,1
A42,46,1
A43,25,1
A43,35,1
A46,64,1
A43,29,1
A49,44,1
A42,24,1
A43,31,1
A40,35,1
A43,35,1
A43,26,1
A46,35,1
A43,30,1
A40,38,1
A41,35,1
A43,24,1
A46,32,1
A46,41,1
A42,27,1
A41,27,1
A40,42,1
A43,38,1
A46,31,1
A41,23,1
A40,75,1
A49,26,1
A40,30,1
A41,32,1
A49,30,1
A42,30,1
A42,55,1
A40,27,1
A43,37,1
A49,26,1
A410,31,1
A49,33,1
A43,30,1
A43,35,1
A43,33,1
A42,42,1
A40,35,1
A42,32,1
A42,25,1
A43,25,1
A43,51,1
A43,52,1
A40,54,1
A46,67,1
A49,74,1
A49,23,1
A42,28,1
A40,59,1
A42,36,1
A49,36,1
A40,27,1
A45,44,1
A41,26,1
A43,44,1
A43,28,1
A40,36,1
A40,38,1
A41,26,1
A41,55,1
A42,23,1
A43,58,1
A40,63,1
A49,40,1
A43,23,1
A40,36,1
A41,46,1
A41,54,1
A40,36,1
A40,26,1
A43,40,1
A42,34,1
A43,45,1
A45,44,1
A49,57,1
A42,38,1
A43,34,1
A43,39,1
A49,26,1
A41,20,1
A46,24,1
A42,29,1
A42,30,1
A40,74,1
A40,46,1
A43,49,1
A49,41,1
A43,31,1
A42,43,1
A43,33,1
A43,32,1
A41,49,1
A40,29,1
A41,35,1
A40,38,1
A43,29,1
A41,31,1
A42,25,1
A42,36,1
A49,31,1
A41,24,1
A49,28,1
A44,36,1
A43,35,1
A43,42,1
A42,47,1
A49,37,1
A43,24,1
A41,50,1
A45,33,1
A40,39,1
A42,45,1
A43,27,1
A43,36,1
A45,22,1
A42,30,1
A40,60,1
A49,26,1
A43,34,1
A46,27,1
A40,28,1
A42,31,1
A49,31,1
A43,24,1
A40,36,1
A46,47,1
A40,30,1
A40,38,1
A40,24,1
A43,31,1
A40,43,1
A43,49,1
A42,24,1
A43,26,1
A43,21,1
A42,51,1
A43,32,1
A40,30,1
A42,22,1
A43,61,1
A43,41,1
A43,34,1
A43,36,1
A42,28,1
A42,26,1
A41,34,1
A43,47,1
A40,27,1
A45,67,1
A48,39,1
A43,48,1
A43,46,1
A43,32,1
A40,63,1
A41,38,1
A43,25,1
A48,38,1
A42,55,1
A42,23,1
A43,49,1
A40,30,1
A49,27,1
A40,35,1
A43,40,1
A43,23,1
A43,46,1
A46,31,1
A43,24,1
A43,29,1
A46,61,1
A40,68,1
A43,20,1
A43,29,1
A42,50,1
A41,26,1
A43,24,1
A41,45,1
A46,23,1
A41,36,1
A43,46,1
A42,40,1
A40,32,1
A43,32,1
A41,43,1
A43,29,1
A40,31,1
A43,43,1
A43,32,1
A40,26,1
A43,66,1
A43,29,1
A42,32,1
A43,23,1
A42,27,1
A42,30,1
A42,26,1
A43,35,1
A42,47,1
A43,24,1
A42,31,1
A410,40,1
