@relation ecoli

@attribute Mcg numeric
@attribute Lip numeric
@attribute Aac numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
47,48,51,cp
25,48,37,cp
27,48,71,cp
56,48,49,cp
34,48,58,cp
4,48,45,cp
26,48,44,cp
43,48,53,cp
24,48,38,cp
24,48,31,cp
61,48,49,cp
39,48,38,cp
51,48,58,cp
7,48,54,cp
34,48,51,cp
18,48,46,cp
23,48,37,cp
48,48,45,cp
24,48,49,cp
35,48,3,cp
36,48,41,cp
3,48,43,cp
29,48,45,cp
65,48,34,cp
23,48,43,cp
36,48,48,cp
57,48,37,cp
54,48,28,cp
43,48,39,cp
32,48,6,cp
27,48,37,cp
32,48,35,cp
44,48,3,cp
51,48,35,cp
29,48,41,cp
44,48,43,cp
41,48,39,cp
34,48,52,cp
34,48,41,cp
61,48,48,cp
51,48,46,cp
36,48,43,cp
29,48,48,cp
44,48,39,cp
44,48,55,cp
41,48,45,cp
21,48,5,cp
38,48,54,cp
53,48,44,cp
67,48,36,cp
17,48,45,cp
49,48,49,cp
47,48,22,cp
3,48,49,cp
42,48,56,cp
4,48,38,cp
29,48,48,cp
5,48,27,cp
52,48,41,cp
51,48,53,cp
53,48,16,cp
0,48,42,cp
17,48,49,cp
4,48,42,cp
25,48,46,cp
23,48,43,cp
42,48,58,cp
25,48,41,cp
17,48,53,cp
24,48,63,cp
34,48,38,cp
4,48,37,cp
49,48,56,cp
42,48,57,cp
34,48,44,cp
35,48,46,cp
25,48,39,cp
38,48,48,cp
4,48,55,cp
25,48,44,cp
26,48,36,cp
43,48,47,cp
44,48,42,cp
3,48,59,cp
4,48,52,cp
22,48,35,cp
23,48,39,cp
29,48,44,cp
33,48,52,cp
51,48,41,cp
3,48,56,cp
33,48,53,cp
29,48,5,cp
22,48,42,cp
34,48,41,cp
31,48,73,cp
2,48,46,cp
25,48,47,cp
37,48,42,cp
24,48,54,cp
41,48,51,cp
24,48,37,cp
44,48,55,cp
35,48,56,cp
44,48,47,cp
52,48,37,cp
38,48,43,cp
23,48,55,cp
52,48,42,cp
41,48,5,cp
39,48,46,cp
34,48,38,cp
26,48,34,cp
56,48,34,cp
59,48,52,cp
42,48,54,cp
42,48,48,cp
31,48,29,cp
36,48,48,cp
36,48,53,cp
29,48,42,cp
28,48,45,cp
4,48,45,cp
64,48,45,cp
44,48,44,cp
37,48,42,cp
43,48,33,cp
4,48,41,cp
44,48,43,im
31,48,5,im
54,48,4,im
7,48,56,im
59,48,55,im
33,48,45,im
5,48,71,im
61,48,54,im
58,48,56,im
39,48,52,im
61,48,46,im
54,48,56,im
61,48,0,im
46,48,48,im
66,48,59,im
33,48,33,im
68,48,71,im
36,48,38,im
34,48,67,im
48,48,52,im
34,48,58,im
2,48,57,im
27,48,51,im
74,48,66,im
45,48,61,im
6,48,49,im
47,48,52,im
51,48,57,im
89,48,51,im
73,48,53,im
63,48,65,im
74,48,55,im
58,48,57,im
6,48,54,im
7,48,56,im
35,48,61,im
34,48,52,im
71,48,64,im
36,48,51,im
69,48,57,im
63,48,59,im
64,48,48,im
16,48,33,im
43,48,58,im
52,48,62,im
71,48,71,im
48,48,6,im
52,48,65,im
31,48,57,im
4,48,65,im
63,48,64,im
63,48,51,im
5,48,66,im
6,48,45,im
6,1,54,im
29,48,71,im
72,48,51,im
3,48,42,im
84,48,48,im
46,48,36,im
5,48,31,im
1,48,41,im
63,48,66,im
37,48,39,im
55,48,57,im
0,48,35,im
47,48,58,im
12,48,63,im
83,48,61,im
11,48,58,im
85,48,53,imS
7,1,51,imL
75,1,4,imL
78,48,45,imU
64,48,48,imU
73,48,57,imU
84,48,75,imU
62,48,58,imU
81,48,42,imU
78,48,57,imU
7,48,7,imU
63,48,64,imU
79,48,46,imU
76,48,5,imU
79,48,5,imU
67,48,54,imU
84,48,55,imU
76,48,5,imU
49,1,56,imU
86,48,59,imU
58,48,59,imU
75,48,64,imU
79,48,66,imU
81,48,57,imU
72,48,65,imU
77,48,51,imU
87,48,61,imU
86,48,63,imU
81,48,57,imU
63,48,48,imU
66,48,54,imU
59,48,64,imU
88,48,52,imU
57,48,6,imU
83,48,65,imU
68,48,73,om
65,48,66,om
71,48,68,om
68,48,84,om
67,48,74,om
56,48,77,om
63,48,79,om
52,48,72,om
73,48,86,om
69,48,77,om
75,48,83,om
77,48,88,om
6,1,77,om
63,48,65,om
78,48,83,om
74,48,57,om
74,48,75,om
67,48,73,om
68,1,62,omL
67,1,66,omL
66,1,54,omL
71,1,52,omL
62,48,46,pp
56,48,43,pp
32,48,53,pp
62,48,47,pp
63,48,39,pp
68,48,49,pp
63,48,4,pp
64,48,41,pp
67,48,25,pp
63,48,39,pp
7,48,42,pp
63,48,6,pp
63,48,49,pp
68,48,38,pp
57,48,39,pp
59,48,42,pp
63,48,46,pp
29,48,52,pp
74,48,47,pp
71,48,4,pp
74,48,31,pp
66,48,41,pp
74,48,42,pp
61,48,44,pp
68,48,43,pp
67,48,46,pp
66,48,34,pp
64,48,5,pp
73,48,58,pp
64,48,49,pp
67,48,54,pp
69,48,46,pp
74,48,5,pp
64,48,37,pp
69,48,46,pp
69,48,63,pp
7,48,47,pp
74,48,49,pp
76,48,44,pp
64,48,37,pp
67,48,51,pp
75,48,35,pp
71,48,48,pp
43,48,52,pp
72,48,17,pp
71,48,4,pp
63,48,35,pp
