@relation ecoli

@attribute Mcg numeric
@attribute Aac numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
28,45,cp
61,48,cp
0,42,cp
29,48,cp
22,35,cp
23,55,cp
34,58,cp
24,37,cp
27,71,cp
23,43,cp
41,58,cp
51,58,cp
59,52,cp
3,49,cp
32,6,cp
38,63,cp
25,47,cp
25,37,cp
4,45,cp
3,36,cp
25,43,cp
23,39,cp
38,54,cp
29,42,cp
24,38,cp
23,43,cp
37,42,cp
42,54,cp
37,42,cp
37,42,cp
31,73,cp
44,5,cp
4,52,cp
51,41,cp
33,53,cp
65,34,cp
29,44,cp
4,55,cp
38,43,cp
42,57,cp
44,55,cp
43,53,cp
34,52,cp
26,44,cp
16,54,cp
24,31,cp
51,46,cp
3,59,cp
24,63,cp
17,49,cp
52,42,cp
34,38,cp
34,38,cp
36,41,cp
44,42,cp
43,47,cp
56,49,cp
24,49,cp
39,46,cp
5,27,cp
29,48,cp
53,16,cp
34,41,cp
51,35,cp
4,37,cp
41,51,cp
28,5,cp
26,34,cp
44,39,cp
23,37,cp
33,52,cp
21,5,cp
25,46,cp
47,22,cp
38,48,cp
48,45,cp
44,44,cp
27,37,cp
36,53,cp
4,42,cp
34,41,cp
24,54,cp
4,41,cp
43,39,cp
53,44,cp
56,34,cp
31,29,cp
41,45,cp
26,36,cp
29,5,cp
41,5,cp
17,53,cp
22,42,cp
21,51,cp
42,58,cp
65,59,cp
49,49,cp
44,47,cp
17,45,cp
38,43,cp
22,48,cp
3,43,cp
44,43,cp
49,56,cp
7,54,cp
57,37,cp
4,45,cp
35,56,cp
64,45,cp
3,56,cp
4,42,cp
47,56,cp
52,37,cp
52,41,cp
36,43,cp
41,39,cp
34,51,cp
5,49,cp
47,51,cp
42,48,cp
25,44,cp
34,44,cp
44,3,cp
42,56,cp
29,41,cp
36,48,cp
35,3,cp
18,46,cp
29,45,cp
6,54,im
1,41,im
51,57,im
48,6,im
12,63,im
63,65,im
31,58,im
61,46,im
66,59,im
63,51,im
47,58,im
55,57,im
33,46,im
46,36,im
63,59,im
54,56,im
59,55,im
0,35,im
74,55,im
84,48,im
2,57,im
52,65,im
43,58,im
49,53,im
73,53,im
11,58,im
6,54,im
72,51,im
33,33,im
83,61,im
16,33,im
37,39,im
69,57,im
64,48,im
5,71,im
5,31,im
61,54,im
74,66,im
89,51,im
48,51,im
23,59,im
63,64,im
47,52,im
68,71,im
34,58,im
41,53,im
31,5,im
36,38,im
6,49,im
7,56,im
35,61,im
34,52,im
54,4,im
7,56,im
71,64,im
34,67,im
46,48,im
48,52,im
45,61,im
5,66,im
36,51,im
27,51,im
12,74,im
63,66,im
31,57,im
58,57,im
58,56,im
52,62,im
3,42,im
63,54,imS
85,53,imS
75,4,imL
7,51,imL
7,7,imU
87,61,imU
67,54,imU
64,67,imU
81,42,imU
64,48,imU
73,57,imU
63,64,imU
79,46,imU
72,65,imU
69,59,imU
79,5,imU
84,75,imU
57,6,imU
63,48,imU
79,66,imU
49,56,imU
81,57,imU
75,64,imU
66,54,imU
78,57,imU
62,58,imU
83,65,imU
86,59,imU
84,55,imU
76,5,imU
59,64,imU
88,52,imU
81,57,imU
78,45,imU
47,62,imU
67,73,om
56,77,om
73,86,om
61,51,om
65,66,om
52,72,om
74,57,om
69,77,om
63,65,om
71,68,om
68,84,om
63,79,om
75,83,om
74,75,om
6,77,om
64,7,om
78,83,om
67,74,om
66,54,omL
68,62,omL
77,37,omL
67,66,omL
71,52,omL
72,17,pp
63,6,pp
68,38,pp
64,49,pp
67,46,pp
7,47,pp
69,41,pp
69,46,pp
64,41,pp
7,56,pp
62,46,pp
71,4,pp
74,49,pp
66,34,pp
69,63,pp
63,35,pp
71,48,pp
66,31,pp
43,52,pp
32,53,pp
68,49,pp
64,37,pp
63,39,pp
74,31,pp
74,42,pp
63,46,pp
74,5,pp
62,47,pp
63,39,pp
29,52,pp
76,44,pp
74,47,pp
64,5,pp
65,47,pp
69,46,pp
75,35,pp
67,25,pp
57,39,pp
64,37,pp
71,4,pp
56,43,pp
67,54,pp
61,44,pp
69,3,pp
7,42,pp
63,4,pp
59,42,pp
