@relation ecoli

@attribute Mcg numeric
@attribute Aac numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
26,34,25,cp
5,27,23,cp
21,5,32,cp
44,5,46,cp
25,39,32,cp
44,39,38,cp
36,48,22,cp
29,48,44,cp
34,52,35,cp
39,46,24,cp
44,55,52,cp
17,45,42,cp
24,63,34,cp
31,29,28,cp
36,48,47,cp
38,43,2,cp
37,42,36,cp
24,31,19,cp
52,42,47,cp
34,41,34,cp
23,43,33,cp
34,38,24,cp
34,44,37,cp
67,36,38,cp
51,53,14,cp
59,52,45,cp
3,49,22,cp
56,49,37,cp
38,43,29,cp
38,48,22,cp
25,46,44,cp
25,43,26,cp
3,36,21,cp
44,47,26,cp
24,54,52,cp
39,38,34,cp
42,57,27,cp
4,37,27,cp
41,45,31,cp
18,46,24,cp
37,42,42,cp
36,53,32,cp
29,45,3,cp
53,16,29,cp
44,3,33,cp
34,51,49,cp
25,44,17,cp
43,47,31,cp
43,53,35,cp
17,49,37,cp
33,52,32,cp
51,41,34,cp
4,45,39,cp
32,6,6,cp
4,52,49,cp
23,43,26,cp
22,48,16,cp
57,37,28,cp
4,45,33,cp
64,45,35,cp
44,44,52,cp
29,44,23,cp
38,63,25,cp
4,42,35,cp
47,56,2,cp
5,49,46,cp
34,41,35,cp
41,51,44,cp
41,39,21,cp
65,59,3,cp
29,41,23,cp
25,47,33,cp
26,44,32,cp
34,38,35,cp
44,43,27,cp
35,46,3,cp
29,5,42,cp
51,46,32,cp
2,46,51,cp
65,34,37,cp
27,37,38,cp
23,55,25,cp
21,51,28,cp
52,41,28,cp
56,34,37,cp
3,43,18,cp
43,39,28,cp
28,5,33,cp
29,42,29,cp
4,38,22,cp
36,41,38,cp
25,41,33,cp
23,39,28,cp
43,33,45,cp
4,42,35,cp
16,54,27,cp
48,45,25,cp
54,28,33,cp
34,58,31,cp
42,56,18,cp
35,56,4,cp
53,44,26,cp
3,59,41,cp
31,73,5,cp
26,36,26,cp
24,49,23,cp
3,56,11,cp
32,35,28,cp
28,45,22,cp
41,5,24,cp
41,58,2,cp
33,53,18,cp
29,48,38,cp
61,49,35,cp
49,49,3,cp
42,48,26,cp
7,54,35,cp
22,42,29,cp
47,51,33,cp
38,54,16,cp
4,55,22,cp
24,38,3,cp
52,37,36,cp
49,56,24,cp
23,37,53,cp
37,42,39,cp
44,55,55,cp
0,42,48,cp
4,41,29,cp
6,49,92,im
31,5,79,im
48,6,78,im
2,57,78,im
41,53,75,im
61,0,8,im
43,58,75,im
7,56,78,im
63,66,67,im
39,52,72,im
61,46,87,im
64,48,78,im
48,52,77,im
63,51,82,im
71,71,7,im
47,58,71,im
31,58,94,im
46,36,76,im
6,54,67,im
54,56,81,im
34,52,76,im
16,33,39,im
46,48,86,im
6,54,77,im
74,55,88,im
37,39,76,im
5,66,64,im
34,67,9,im
74,66,65,im
4,65,82,im
83,61,71,im
49,53,79,im
68,71,75,im
47,52,76,im
33,33,78,im
35,61,71,im
33,46,65,im
71,64,1,im
58,57,7,im
84,48,71,im
52,65,71,im
63,59,85,im
7,56,86,im
23,59,88,im
69,57,76,im
33,45,88,im
5,71,61,im
63,65,79,im
29,71,65,im
12,74,58,im
63,64,73,im
44,43,47,im
45,61,74,im
48,51,9,im
1,41,67,im
61,54,67,im
5,31,92,im
3,42,61,im
73,53,91,im
52,62,76,im
66,59,66,im
11,58,72,im
6,45,81,im
55,57,78,im
0,35,67,im
72,51,66,im
89,51,72,im
31,57,84,im
58,56,87,im
85,53,52,imS
63,54,76,imS
7,51,82,imL
75,4,47,imL
84,55,78,imU
86,59,89,imU
78,45,73,imU
73,57,75,imU
47,62,74,imU
83,65,76,imU
86,63,81,imU
81,42,67,imU
75,64,7,imU
62,58,79,imU
76,5,59,imU
59,64,75,imU
76,5,71,imU
77,51,78,imU
57,6,49,imU
63,64,72,imU
64,67,61,imU
67,54,64,imU
72,65,77,imU
87,61,76,imU
66,54,7,imU
58,59,73,imU
79,5,66,imU
78,57,77,imU
79,46,82,imU
49,56,71,imU
81,57,87,imU
79,66,81,imU
63,48,77,imU
88,52,73,imU
69,59,74,imU
68,73,4,om
73,86,58,om
68,84,45,om
64,7,33,om
74,57,53,om
71,68,43,om
61,51,33,om
67,74,54,om
67,73,5,om
6,77,59,om
63,79,45,om
77,88,53,om
52,72,38,om
75,83,57,om
65,66,54,om
74,75,54,om
56,77,36,om
78,83,4,om
77,37,54,omL
66,54,56,omL
71,52,59,omL
68,62,55,omL
67,66,58,omL
63,6,4,pp
69,46,44,pp
64,37,45,pp
65,47,47,pp
74,49,49,pp
66,41,5,pp
68,43,44,pp
69,3,39,pp
74,42,54,pp
32,53,28,pp
67,46,45,pp
62,47,49,pp
63,49,7,pp
64,5,36,pp
66,31,38,pp
69,46,57,pp
73,58,51,pp
74,5,57,pp
63,39,47,pp
67,54,49,pp
72,17,55,pp
67,51,37,pp
71,4,54,pp
63,35,51,pp
63,39,44,pp
68,38,65,pp
61,44,39,pp
71,4,54,pp
7,56,52,pp
74,31,53,pp
64,41,39,pp
29,52,4,pp
56,43,37,pp
63,4,39,pp
69,41,5,pp
68,49,4,pp
7,42,84,pp
67,25,42,pp
64,37,39,pp
64,49,42,pp
63,46,31,pp
66,34,41,pp
43,52,49,pp
62,46,36,pp
57,39,47,pp
75,35,52,pp
