@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4,  72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250,  18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1,  4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1,  4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19,  75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1,  4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1,  2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@data
A11, 6, A34, A43, 1169, A65, A75, 4, A93, A101, 4, A121, 67, A143, A152, 2, A173, 1, A192, A201, 1
A14, 24, A32, A42, 2835, A63, A75, 3, A93, A101, 4, A122, 53, A143, A152, 1, A173, 1, A191, A201, 1
A14, 6, A30, A43, 426, A61, A75, 4, A94, A101, 4, A123, 39, A143, A152, 1, A172, 1, A191, A201, 1
A13, 10, A32, A44, 1225, A61, A73, 2, A93, A101, 2, A123, 37, A143, A152, 1, A173, 1, A192, A201, 1
A12, 9, A32, A43, 458, A61, A73, 4, A93, A101, 3, A121, 24, A143, A152, 1, A173, 1, A191, A201, 1
A12, 15, A34, A43, 1537, A65, A75, 4, A93, A103, 4, A121, 50, A143, A152, 2, A173, 1, A192, A201, 1
A14, 36, A32, A41, 8133, A61, A73, 1, A92, A101, 2, A122, 30, A141, A152, 1, A173, 1, A191, A201, 1
A11, 12, A34, A41, 1526, A61, A75, 4, A93, A101, 4, A124, 66, A143, A153, 2, A174, 1, A191, A201, 1
A14, 15, A32, A43, 1213, A63, A75, 4, A93, A101, 3, A122, 47, A142, A152, 1, A173, 1, A192, A201, 1
A14, 12, A34, A43, 618, A61, A75, 4, A93, A101, 4, A121, 56, A143, A152, 1, A173, 1, A191, A201, 1
A14, 12, A34, A43, 797, A65, A75, 4, A92, A101, 3, A122, 33, A141, A152, 1, A172, 2, A191, A201, 2
A14, 36, A34, A40, 7855, A61, A73, 4, A92, A101, 2, A121, 25, A142, A152, 2, A173, 1, A192, A201, 2
A12, 12, A32, A45, 639, A61, A73, 4, A93, A101, 2, A123, 30, A143, A152, 1, A173, 1, A191, A201, 2
A14, 15, A32, A42, 2708, A61, A72, 2, A93, A101, 3, A122, 27, A141, A152, 2, A172, 1, A191, A201, 1
A14, 12, A34, A43, 1240, A65, A75, 4, A92, A101, 2, A121, 38, A143, A152, 2, A173, 1, A192, A201, 1
A13, 36, A32, A43, 5848, A61, A73, 4, A93, A101, 1, A123, 24, A143, A152, 1, A173, 1, A191, A201, 1
A12, 24, A33, A49, 6967, A62, A74, 4, A93, A101, 4, A123, 36, A143, A151, 1, A174, 1, A192, A201, 1
A12, 24, A32, A40, 3512, A62, A74, 2, A93, A101, 3, A123, 38, A141, A152, 2, A173, 1, A192, A201, 1
A12, 24, A33, A42, 2064, A61, A71, 3, A92, A101, 2, A122, 34, A143, A152, 1, A174, 1, A192, A201, 2
A14, 12, A34, A40, 1495, A61, A75, 4, A93, A101, 1, A121, 38, A143, A152, 2, A172, 2, A191, A201, 1
A12, 12, A34, A44, 1424, A61, A74, 4, A93, A101, 3, A122, 26, A143, A152, 1, A173, 1, A191, A201, 1
A12, 12, A32, A43, 625, A61, A72, 4, A94, A103, 1, A121, 26, A141, A152, 1, A172, 1, A191, A201, 1
A11, 24, A32, A42, 3149, A61, A72, 4, A93, A101, 1, A124, 22, A141, A153, 1, A173, 1, A191, A201, 1
A14, 12, A34, A43, 1291, A61, A73, 4, A92, A101, 2, A122, 35, A143, A152, 2, A173, 1, A191, A201, 1
A14, 12, A31, A48, 3447, A63, A73, 4, A92, A101, 3, A121, 35, A143, A152, 1, A172, 2, A191, A201, 1
A14, 12, A34, A43, 717, A61, A75, 4, A93, A101, 4, A121, 52, A143, A152, 3, A173, 1, A191, A201, 1
A13, 24, A32, A42, 1925, A61, A73, 2, A93, A101, 2, A121, 26, A143, A152, 1, A173, 1, A191, A201, 1
A14, 24, A33, A42, 4151, A62, A73, 2, A93, A101, 3, A122, 35, A143, A152, 2, A173, 1, A191, A201, 1
A11, 12, A31, A43, 2149, A61, A73, 4, A91, A101, 1, A124, 29, A143, A153, 1, A173, 1, A191, A201, 2
A14, 11, A34, A43, 1154, A62, A71, 4, A92, A101, 4, A121, 57, A143, A152, 3, A172, 1, A191, A201, 1
