@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4,  72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250,  18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1,  4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1,  4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19,  75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1,  4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1,  2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@data
A12, 48, A32, A43, 5951, A61, A73, 2, A92, A101, 2, A121, 22, A143, A152, 1, A173, 1, A191, A201, 2
A11, 6, A32, A43, 2647, A63, A73, 2, A93, A101, 3, A121, 44, A143, A151, 1, A173, 2, A191, A201, 1
A11, 8, A34, A410, 1164, A61, A75, 3, A93, A101, 4, A124, 51, A141, A153, 2, A174, 2, A192, A201, 1
A11, 36, A32, A46, 1977, A65, A75, 4, A93, A101, 4, A124, 40, A143, A152, 1, A174, 1, A192, A201, 2
A11, 42, A32, A43, 3965, A61, A72, 4, A93, A101, 3, A123, 34, A143, A152, 1, A173, 1, A191, A201, 2
A14, 54, A30, A41, 9436, A65, A73, 2, A93, A101, 2, A122, 39, A143, A152, 1, A172, 2, A191, A201, 1
A12, 54, A30, A49, 15945, A61, A72, 3, A93, A101, 4, A124, 58, A143, A151, 1, A173, 1, A192, A201, 2
A12, 9, A34, A42, 1919, A61, A74, 4, A93, A101, 3, A123, 35, A143, A151, 1, A173, 1, A192, A201, 1
A12, 12, A32, A40, 6078, A61, A74, 2, A93, A101, 2, A123, 32, A143, A152, 1, A173, 1, A191, A201, 1
A12, 18, A32, A40, 6260, A61, A74, 3, A93, A101, 3, A121, 28, A143, A151, 1, A172, 1, A191, A201, 1
A11, 10, A34, A42, 2132, A65, A72, 2, A92, A102, 3, A121, 27, A143, A151, 2, A173, 1, A191, A202, 1
A12, 18, A32, A42, 1924, A65, A72, 4, A92, A101, 3, A121, 27, A143, A151, 1, A173, 1, A191, A201, 2
A11, 12, A32, A43, 701, A61, A73, 4, A94, A101, 2, A121, 40, A143, A152, 1, A172, 1, A191, A201, 1
A13, 12, A32, A43, 1881, A61, A73, 2, A92, A101, 2, A123, 44, A143, A151, 1, A172, 1, A192, A201, 1
A14, 18, A34, A43, 1582, A64, A75, 4, A93, A101, 4, A123, 46, A143, A152, 2, A173, 1, A191, A201, 1
A11, 9, A34, A45, 1288, A62, A75, 3, A93, A103, 4, A121, 48, A143, A152, 2, A173, 2, A191, A202, 1
A11, 15, A30, A40, 950, A61, A75, 4, A93, A101, 3, A123, 33, A143, A151, 2, A173, 2, A191, A201, 2
A14, 30, A31, A41, 7485, A65, A71, 4, A92, A101, 1, A121, 53, A141, A152, 1, A174, 1, A192, A201, 2
A14, 12, A34, A42, 1935, A61, A75, 4, A93, A101, 4, A121, 43, A143, A152, 3, A173, 1, A192, A201, 1
A14, 4, A34, A43, 1544, A61, A74, 2, A93, A101, 1, A121, 42, A143, A152, 3, A172, 2, A191, A201, 1
A12, 21, A32, A49, 2767, A62, A75, 4, A91, A101, 2, A123, 61, A141, A151, 2, A172, 1, A191, A201, 2
A14, 6, A32, A43, 1595, A61, A74, 3, A93, A101, 2, A122, 51, A143, A152, 1, A173, 2, A191, A201, 1
A11, 6, A34, A40, 666, A64, A74, 3, A92, A101, 4, A121, 39, A143, A152, 2, A172, 1, A192, A201, 1
A11, 12, A32, A42, 1657, A61, A73, 2, A93, A101, 2, A121, 27, A143, A152, 1, A173, 1, A191, A201, 1
A11, 24, A32, A43, 1603, A61, A75, 4, A92, A101, 4, A123, 55, A143, A152, 1, A173, 1, A191, A201, 1
A14, 6, A32, A42, 4611, A61, A72, 1, A92, A101, 4, A122, 32, A143, A152, 1, A173, 1, A191, A201, 2
A12, 12, A32, A43, 1092, A61, A73, 4, A92, A103, 4, A121, 49, A143, A152, 2, A173, 1, A192, A201, 1
A11, 24, A33, A43, 1024, A61, A72, 4, A94, A101, 4, A121, 48, A142, A152, 1, A173, 1, A191, A201, 2
A12, 48, A32, A42, 9960, A61, A72, 1, A92, A101, 2, A123, 26, A143, A152, 1, A173, 1, A192, A201, 2
A12, 36, A30, A43, 3804, A61, A73, 4, A92, A101, 1, A123, 42, A143, A152, 1, A173, 1, A192, A201, 2
A11, 10, A34, A40, 1038, A61, A74, 4, A93, A102, 3, A122, 49, A143, A152, 2, A173, 1, A192, A201, 1
A14, 30, A32, A41, 4811, A65, A74, 2, A92, A101, 4, A122, 24, A142, A151, 1, A172, 1, A191, A201, 1
A12, 13, A32, A43, 2101, A61, A72, 2, A92, A103, 4, A122, 23, A143, A152, 1, A172, 1, A191, A201, 1
A12, 10, A32, A42, 1521, A61, A73, 4, A91, A101, 2, A123, 31, A143, A152, 1, A172, 1, A191, A201, 1
A14, 18, A34, A41, 3229, A65, A71, 2, A93, A101, 4, A124, 38, A143, A152, 1, A174, 1, A192, A201, 1
A14, 10, A32, A46, 727, A63, A75, 4, A93, A101, 4, A124, 46, A143, A153, 1, A173, 1, A192, A201, 1
A11, 36, A32, A42, 3446, A61, A75, 4, A93, A101, 2, A123, 42, A143, A152, 1, A173, 2, A191, A201, 2
A14, 7, A33, A43, 846, A65, A75, 3, A93, A101, 4, A124, 36, A143, A153, 1, A173, 1, A191, A201, 1
A14, 22, A32, A40, 1283, A65, A74, 4, A92, A101, 4, A122, 25, A143, A151, 1, A173, 1, A191, A201, 1
A11, 36, A32, A40, 3249, A61, A74, 2, A93, A101, 4, A124, 39, A141, A153, 1, A174, 2, A192, A201, 1
A12, 24, A32, A43, 2039, A61, A72, 1, A94, A101, 1, A122, 22, A143, A152, 1, A173, 1, A192, A201, 2
A14, 18, A34, A43, 1149, A64, A73, 4, A93, A101, 3, A121, 46, A143, A152, 2, A173, 1, A191, A201, 1
A14, 24, A34, A40, 1287, A64, A75, 4, A92, A101, 4, A121, 37, A143, A152, 2, A173, 1, A192, A201, 1
A11, 12, A32, A42, 1620, A61, A73, 2, A92, A102, 3, A122, 30, A143, A152, 1, A173, 1, A191, A201, 1
A12, 7, A32, A43, 2576, A61, A73, 2, A93, A103, 2, A121, 35, A143, A152, 1, A173, 1, A191, A201, 1
A14, 24, A32, A41, 2679, A61, A72, 4, A92, A101, 1, A124, 29, A143, A152, 1, A174, 1, A192, A201, 1
A11, 15, A34, A42, 1478, A61, A75, 4, A93, A101, 4, A123, 44, A143, A152, 2, A173, 2, A192, A201, 1
A14, 12, A34, A43, 1934, A61, A75, 2, A93, A101, 2, A124, 26, A143, A152, 2, A173, 1, A191, A201, 1
A13, 15, A34, A41, 2360, A63, A73, 2, A93, A101, 2, A123, 36, A143, A152, 1, A173, 1, A192, A201, 1
A12, 15, A31, A40, 6850, A62, A71, 1, A93, A101, 2, A122, 34, A143, A152, 1, A174, 2, A192, A201, 2
A14, 39, A32, A41, 8588, A62, A75, 4, A93, A101, 2, A123, 45, A143, A152, 1, A174, 1, A192, A201, 1
A11, 12, A32, A40, 759, A61, A74, 4, A93, A101, 2, A121, 26, A143, A152, 1, A173, 1, A191, A201, 2
A13, 15, A32, A49, 2687, A61, A74, 2, A93, A101, 4, A122, 26, A143, A151, 1, A173, 1, A192, A201, 1
A12, 9, A32, A42, 918, A61, A73, 4, A92, A101, 1, A122, 30, A143, A152, 1, A173, 1, A191, A201, 2
A14, 18, A33, A42, 1808, A61, A74, 4, A92, A101, 1, A121, 22, A143, A152, 1, A173, 1, A191, A201, 2
A14, 12, A32, A40, 640, A61, A73, 4, A91, A101, 2, A121, 49, A143, A152, 1, A172, 1, A191, A201, 1
A13, 6, A32, A42, 2116, A61, A73, 2, A93, A101, 2, A121, 41, A143, A152, 1, A173, 1, A192, A201, 1
A11, 18, A31, A42, 1553, A61, A73, 4, A93, A101, 3, A123, 44, A141, A152, 1, A173, 1, A191, A201, 2
A14, 24, A32, A43, 1376, A63, A74, 4, A92, A101, 1, A123, 28, A143, A152, 1, A173, 1, A191, A201, 1
A11, 30, A30, A42, 4583, A61, A73, 2, A91, A103, 2, A121, 32, A143, A152, 2, A173, 1, A191, A201, 1
A12, 30, A30, A49, 4221, A61, A73, 2, A92, A101, 1, A123, 28, A143, A152, 2, A173, 1, A191, A201, 1
A11, 12, A32, A40, 900, A65, A73, 4, A94, A101, 2, A123, 23, A143, A152, 1, A173, 1, A191, A201, 2
A14, 30, A34, A43, 4530, A61, A74, 4, A92, A101, 4, A123, 26, A143, A151, 1, A174, 1, A192, A201, 1
A11, 24, A32, A43, 2384, A61, A75, 4, A93, A101, 4, A121, 64, A141, A151, 1, A172, 1, A191, A201, 1
A14, 9, A32, A43, 2753, A62, A75, 3, A93, A102, 4, A123, 35, A143, A152, 1, A173, 1, A192, A201, 1
A14, 12, A34, A40, 926, A61, A71, 1, A92, A101, 2, A122, 38, A143, A152, 1, A171, 1, A191, A201, 1
A14, 12, A32, A42, 1123, A63, A73, 4, A92, A101, 4, A123, 29, A143, A151, 1, A172, 1, A191, A201, 2
A14, 15, A32, A40, 5324, A63, A75, 1, A92, A101, 4, A124, 35, A143, A153, 1, A173, 1, A191, A201, 1
A12, 9, A32, A43, 1206, A61, A75, 4, A92, A101, 4, A121, 25, A143, A152, 1, A173, 1, A191, A201, 1
A12, 9, A32, A43, 2118, A61, A73, 2, A93, A101, 2, A121, 37, A143, A152, 1, A172, 2, A191, A201, 1
A11, 24, A32, A43, 1987, A61, A73, 2, A93, A101, 4, A121, 21, A143, A151, 1, A172, 2, A191, A201, 2
A12, 30, A30, A49, 4280, A62, A73, 4, A92, A101, 4, A123, 26, A143, A151, 2, A172, 1, A191, A201, 2
A11, 24, A31, A42, 2483, A63, A73, 4, A93, A101, 4, A121, 22, A142, A152, 1, A173, 1, A192, A201, 1
A11, 18, A32, A40, 976, A61, A72, 1, A92, A101, 2, A123, 23, A143, A152, 1, A172, 1, A191, A201, 2
A14, 24, A34, A40, 1940, A64, A75, 4, A93, A101, 4, A121, 60, A143, A152, 1, A173, 1, A192, A201, 1
A12, 48, A33, A46, 6224, A61, A75, 4, A93, A101, 4, A124, 50, A143, A153, 1, A173, 1, A191, A201, 2
A13, 12, A32, A43, 3016, A61, A73, 3, A94, A101, 1, A123, 24, A143, A152, 1, A173, 1, A191, A201, 1
A14, 18, A30, A49, 4165, A61, A73, 2, A93, A101, 2, A123, 36, A142, A152, 2, A173, 2, A191, A201, 2
A11, 24, A34, A41, 2957, A61, A75, 4, A93, A101, 4, A122, 63, A143, A152, 2, A173, 1, A192, A201, 1
A14, 15, A34, A43, 1471, A61, A73, 4, A93, A101, 4, A124, 35, A143, A153, 2, A173, 1, A192, A201, 1
A14, 9, A32, A40, 3577, A62, A73, 1, A93, A103, 2, A121, 26, A143, A151, 1, A173, 2, A191, A202, 1
A14, 18, A33, A49, 2169, A61, A73, 4, A94, A101, 2, A123, 28, A143, A152, 1, A173, 1, A192, A201, 2
A14, 15, A34, A43, 1829, A61, A75, 4, A93, A101, 4, A123, 46, A143, A152, 2, A173, 1, A192, A201, 1
A14, 12, A34, A42, 1592, A64, A74, 3, A92, A101, 2, A122, 35, A143, A152, 1, A173, 1, A191, A202, 1
A11, 16, A34, A40, 2625, A61, A75, 2, A93, A103, 4, A122, 43, A141, A151, 1, A173, 1, A192, A201, 2
A14, 18, A34, A42, 1817, A61, A73, 4, A92, A101, 2, A124, 28, A143, A152, 2, A173, 1, A191, A201, 1
A11, 9, A32, A43, 1366, A61, A72, 3, A92, A101, 4, A122, 22, A143, A151, 1, A173, 1, A191, A201, 2
A12, 12, A32, A40, 2002, A61, A74, 3, A93, A101, 4, A122, 30, A143, A151, 1, A173, 2, A192, A201, 1
A11, 12, A33, A40, 1344, A61, A73, 4, A93, A101, 2, A121, 43, A143, A152, 2, A172, 2, A191, A201, 1
A11, 12, A32, A43, 1498, A61, A73, 4, A92, A101, 1, A123, 23, A141, A152, 1, A173, 1, A191, A201, 1
A14, 24, A32, A42, 929, A65, A74, 4, A93, A101, 2, A123, 31, A142, A152, 1, A173, 1, A192, A201, 1
A11, 15, A32, A42, 1845, A61, A72, 4, A92, A103, 1, A122, 46, A143, A151, 1, A173, 1, A191, A201, 1
A14, 36, A32, A42, 10974, A61, A71, 4, A92, A101, 2, A123, 26, A143, A152, 2, A174, 1, A192, A201, 2
A11, 12, A32, A40, 1893, A61, A73, 4, A92, A103, 4, A122, 29, A143, A152, 1, A173, 1, A192, A201, 1
A14, 6, A34, A43, 1740, A61, A75, 2, A94, A101, 2, A121, 30, A143, A151, 2, A173, 1, A191, A201, 1
A14, 24, A32, A40, 7393, A61, A73, 1, A93, A101, 4, A122, 43, A143, A152, 1, A172, 2, A191, A201, 1
A12, 6, A32, A43, 753, A61, A73, 2, A92, A103, 3, A121, 64, A143, A152, 1, A173, 1, A191, A201, 1
A11, 24, A32, A41, 6579, A61, A71, 4, A93, A101, 2, A124, 29, A143, A153, 1, A174, 1, A192, A201, 1
A14, 12, A32, A40, 2390, A65, A75, 4, A93, A101, 3, A123, 50, A143, A152, 1, A173, 1, A192, A201, 1
A14, 12, A32, A43, 804, A61, A75, 4, A93, A101, 4, A123, 38, A143, A152, 1, A173, 1, A191, A201, 1
