@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4,  72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250,  18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1,  4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1,  4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19,  75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1,  4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1,  2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@data
A11, 30, A30, A49, 8072, A65, A72, 2, A93, A101, 3, A123, 25, A141, A152, 3, A173, 1, A191, A201, 1
A11, 6, A32, A42, 1374, A61, A73, 1, A93, A101, 2, A121, 36, A141, A152, 1, A172, 1, A192, A201, 1
A11, 60, A33, A49, 6836, A61, A75, 3, A93, A101, 4, A124, 63, A143, A152, 2, A173, 1, A192, A201, 2
A11, 24, A32, A42, 4020, A61, A73, 2, A93, A101, 2, A123, 27, A142, A152, 1, A173, 1, A191, A201, 1
A12, 9, A32, A49, 1391, A61, A73, 2, A94, A101, 1, A121, 27, A141, A152, 1, A173, 1, A192, A201, 1
A14, 18, A32, A49, 1568, A62, A73, 3, A92, A101, 4, A122, 24, A143, A151, 1, A172, 1, A191, A201, 1
A12, 36, A34, A43, 2337, A61, A75, 4, A93, A101, 4, A121, 36, A143, A152, 1, A173, 1, A191, A201, 1
A14, 18, A31, A40, 6458, A61, A75, 2, A93, A101, 4, A124, 39, A141, A152, 2, A174, 2, A192, A201, 2
A11, 12, A32, A43, 1680, A63, A75, 3, A94, A101, 1, A121, 35, A143, A152, 1, A173, 1, A191, A201, 1
A11, 33, A34, A42, 4281, A63, A73, 1, A92, A101, 4, A123, 23, A143, A152, 2, A173, 1, A191, A201, 2
A11, 21, A32, A43, 1835, A61, A73, 3, A92, A101, 2, A121, 25, A143, A152, 2, A173, 1, A192, A201, 2
A11, 36, A33, A46, 6887, A61, A73, 4, A93, A101, 3, A122, 29, A142, A152, 1, A173, 1, A192, A201, 2
A12, 36, A32, A43, 4795, A61, A72, 4, A92, A101, 1, A124, 30, A143, A152, 1, A174, 1, A192, A201, 1
A14, 21, A34, A42, 2288, A61, A72, 4, A92, A101, 4, A122, 23, A143, A152, 1, A173, 1, A192, A201, 1
A14, 6, A32, A43, 1346, A62, A75, 2, A93, A101, 4, A124, 42, A141, A153, 1, A173, 2, A192, A201, 1
A12, 24, A34, A49, 1935, A61, A75, 4, A91, A101, 4, A121, 31, A143, A152, 2, A173, 1, A192, A201, 2
A14, 12, A32, A43, 1963, A61, A74, 4, A93, A101, 2, A123, 31, A143, A151, 2, A174, 2, A192, A201, 1
A14, 15, A34, A43, 1360, A61, A73, 4, A93, A101, 2, A122, 31, A143, A152, 2, A173, 1, A191, A201, 1
A14, 9, A34, A43, 3074, A65, A73, 1, A93, A101, 2, A121, 33, A143, A152, 2, A173, 2, A191, A201, 1
A12, 6, A32, A40, 14555, A65, A71, 1, A93, A101, 2, A122, 23, A143, A152, 1, A171, 1, A192, A201, 2
A11, 18, A34, A40, 5302, A61, A75, 2, A93, A101, 4, A124, 36, A143, A153, 3, A174, 1, A192, A201, 1
A14, 12, A34, A42, 1402, A63, A74, 3, A92, A101, 4, A123, 37, A143, A151, 1, A173, 1, A192, A201, 1
A11, 47, A32, A40, 10722, A61, A72, 1, A92, A101, 1, A121, 35, A143, A152, 1, A172, 1, A192, A201, 1
A13, 24, A32, A42, 3749, A61, A72, 2, A92, A101, 4, A123, 26, A143, A152, 1, A173, 1, A191, A201, 1
A11, 12, A32, A42, 708, A61, A73, 2, A93, A103, 3, A122, 38, A143, A152, 1, A172, 2, A191, A201, 1
A11, 18, A32, A42, 2659, A64, A73, 4, A93, A101, 2, A123, 28, A143, A152, 1, A173, 1, A191, A201, 1
A14, 24, A32, A40, 1525, A64, A74, 4, A92, A101, 3, A123, 34, A143, A152, 1, A173, 2, A192, A201, 1
A12, 6, A32, A43, 1068, A61, A75, 4, A93, A101, 4, A123, 28, A143, A152, 1, A173, 2, A191, A201, 1
A11, 21, A32, A42, 3599, A61, A74, 1, A92, A101, 4, A123, 26, A143, A151, 1, A172, 1, A191, A201, 1
A14, 6, A33, A49, 1743, A62, A73, 1, A93, A101, 2, A121, 34, A143, A152, 2, A172, 1, A191, A201, 1
A12, 24, A32, A40, 1246, A61, A72, 4, A93, A101, 2, A121, 23, A142, A152, 1, A172, 1, A191, A201, 2
A11, 18, A32, A42, 3650, A61, A72, 1, A92, A101, 4, A123, 22, A143, A151, 1, A173, 1, A191, A201, 1
A14, 18, A34, A43, 2238, A61, A73, 2, A92, A101, 1, A123, 25, A143, A152, 2, A173, 1, A191, A201, 1
A11, 12, A32, A42, 2578, A61, A71, 3, A92, A101, 4, A124, 55, A143, A153, 1, A174, 1, A191, A201, 1
A13, 12, A34, A40, 939, A63, A74, 4, A94, A101, 2, A121, 28, A143, A152, 3, A173, 1, A192, A201, 2
A14, 10, A32, A40, 1597, A63, A73, 3, A93, A101, 2, A124, 40, A143, A151, 1, A172, 2, A191, A202, 1
A11, 18, A34, A45, 1190, A61, A71, 2, A92, A101, 4, A124, 55, A143, A153, 3, A171, 2, A191, A201, 2
A11, 6, A34, A42, 1872, A61, A71, 4, A93, A101, 4, A124, 36, A143, A153, 3, A174, 1, A192, A201, 1
A13, 12, A31, A49, 609, A61, A72, 4, A92, A101, 1, A121, 26, A143, A152, 1, A171, 1, A191, A201, 2
A12, 15, A33, A45, 1512, A64, A73, 3, A94, A101, 3, A122, 61, A142, A152, 2, A173, 1, A191, A201, 2
A11, 24, A32, A41, 2924, A61, A73, 3, A93, A103, 4, A124, 63, A141, A152, 1, A173, 2, A192, A201, 1
A12, 24, A32, A40, 1201, A61, A72, 4, A93, A101, 1, A122, 26, A143, A152, 1, A173, 1, A191, A201, 1
A14, 36, A32, A41, 4686, A61, A73, 2, A93, A101, 2, A124, 32, A143, A153, 1, A174, 1, A192, A201, 1
A14, 24, A32, A41, 3488, A62, A74, 3, A92, A101, 4, A123, 23, A143, A152, 1, A173, 1, A191, A201, 1
A14, 12, A33, A41, 1503, A61, A73, 4, A94, A101, 4, A121, 41, A143, A151, 1, A173, 1, A191, A201, 1
A14, 24, A32, A43, 1311, A62, A74, 4, A94, A101, 3, A122, 26, A143, A152, 1, A173, 1, A192, A201, 1
A11, 6, A32, A40, 1374, A65, A71, 4, A92, A101, 3, A122, 75, A143, A152, 1, A174, 1, A192, A201, 1
A14, 24, A33, A40, 2032, A61, A75, 4, A93, A101, 4, A124, 60, A143, A153, 2, A173, 1, A192, A201, 1
A14, 48, A34, A41, 8858, A65, A74, 2, A93, A101, 1, A124, 35, A143, A153, 2, A173, 1, A192, A201, 1
A11, 24, A31, A42, 3552, A61, A74, 3, A93, A101, 4, A123, 27, A141, A152, 1, A173, 1, A191, A201, 2
A11, 24, A32, A41, 2964, A65, A75, 4, A93, A101, 4, A124, 49, A141, A153, 1, A173, 2, A192, A201, 1
A11, 24, A31, A43, 1546, A61, A74, 4, A93, A103, 4, A123, 24, A141, A151, 1, A172, 1, A191, A201, 2
A12, 36, A32, A40, 12389, A65, A73, 1, A93, A101, 4, A124, 37, A143, A153, 1, A173, 1, A192, A201, 2
A12, 48, A32, A43, 3979, A65, A74, 4, A93, A101, 1, A123, 41, A143, A152, 2, A173, 2, A192, A201, 1
A12, 12, A32, A43, 2930, A61, A74, 2, A92, A101, 1, A121, 27, A143, A152, 1, A173, 1, A191, A201, 1
A12, 36, A32, A45, 2384, A61, A72, 4, A93, A101, 1, A124, 33, A143, A151, 1, A172, 1, A191, A201, 2
A11, 18, A32, A42, 2039, A61, A73, 1, A92, A101, 4, A121, 20, A141, A151, 1, A173, 1, A191, A201, 2
A11, 12, A34, A42, 2246, A61, A75, 3, A93, A101, 3, A122, 60, A143, A152, 2, A173, 1, A191, A201, 2
A12, 7, A32, A43, 2329, A61, A72, 1, A92, A103, 1, A121, 45, A143, A152, 1, A173, 1, A191, A201, 1
A14, 36, A32, A42, 3349, A61, A73, 4, A92, A101, 2, A123, 28, A143, A152, 1, A174, 1, A192, A201, 2
A11, 24, A31, A41, 3632, A61, A73, 1, A92, A103, 4, A123, 22, A141, A151, 1, A173, 1, A191, A202, 1
A14, 15, A32, A46, 4623, A62, A73, 3, A93, A101, 2, A122, 40, A143, A152, 1, A174, 1, A192, A201, 2
A11, 24, A32, A40, 2303, A61, A75, 4, A93, A102, 1, A121, 45, A143, A152, 1, A173, 1, A191, A201, 2
A14, 24, A34, A42, 5150, A61, A75, 4, A93, A101, 4, A123, 33, A143, A152, 1, A173, 1, A192, A201, 1
A11, 15, A34, A42, 975, A61, A73, 2, A91, A101, 3, A122, 25, A143, A152, 2, A173, 1, A191, A201, 1
A12, 12, A32, A43, 1103, A61, A74, 4, A93, A103, 3, A121, 29, A143, A152, 2, A173, 1, A191, A202, 1
A12, 24, A32, A41, 11560, A61, A73, 1, A92, A101, 4, A123, 23, A143, A151, 2, A174, 1, A191, A201, 2
A11, 39, A34, A42, 14179, A65, A74, 4, A93, A101, 4, A122, 30, A143, A152, 2, A174, 1, A192, A201, 1
A14, 24, A34, A40, 2463, A62, A74, 4, A94, A101, 3, A122, 27, A143, A152, 2, A173, 1, A192, A201, 1
A12, 12, A32, A43, 1155, A61, A75, 3, A94, A103, 3, A121, 40, A141, A152, 2, A172, 1, A191, A201, 1
A11, 18, A32, A43, 3509, A61, A74, 4, A92, A103, 1, A121, 25, A143, A152, 1, A173, 1, A191, A201, 1
A12, 12, A32, A40, 836, A62, A72, 4, A92, A101, 2, A122, 23, A141, A152, 1, A172, 1, A191, A201, 2
A12, 18, A32, A49, 1941, A64, A73, 4, A93, A101, 2, A122, 35, A143, A152, 1, A172, 1, A192, A201, 1
A12, 21, A32, A49, 1188, A61, A75, 2, A92, A101, 4, A122, 39, A143, A152, 1, A173, 2, A191, A201, 2
A11, 18, A32, A43, 1345, A61, A73, 4, A94, A101, 3, A121, 26, A141, A152, 1, A173, 1, A191, A201, 2
A11, 36, A32, A42, 2712, A61, A75, 2, A93, A101, 2, A122, 41, A141, A152, 1, A173, 2, A191, A201, 2
A11, 18, A34, A40, 3966, A61, A75, 1, A92, A101, 4, A121, 33, A141, A151, 3, A173, 1, A192, A201, 2
A11, 18, A32, A40, 1216, A61, A72, 4, A92, A101, 3, A123, 23, A143, A151, 1, A173, 1, A192, A201, 2
A11, 45, A30, A49, 11816, A61, A75, 2, A93, A101, 4, A123, 29, A143, A151, 2, A173, 1, A191, A201, 2
A14, 12, A34, A42, 3331, A61, A75, 2, A93, A101, 4, A122, 42, A142, A152, 1, A173, 1, A191, A201, 1
