@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4,  72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250,  18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1,  4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1,  4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19,  75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1,  4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1,  2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@data
A14, 36, A34, A43, 9566, A61, A73, 2, A92, A101, 2, A123, 31, A142, A152, 2, A173, 1, A191, A201, 1
A13, 18, A32, A40, 1961, A61, A75, 3, A92, A101, 2, A123, 23, A143, A152, 1, A174, 1, A191, A201, 1
A14, 24, A32, A43, 3181, A61, A72, 4, A92, A101, 4, A122, 26, A143, A152, 1, A173, 1, A192, A201, 1
A12, 12, A32, A40, 1007, A64, A73, 4, A94, A101, 1, A121, 22, A143, A152, 1, A173, 1, A191, A201, 1
A14, 36, A32, A46, 1819, A61, A73, 4, A93, A101, 4, A124, 37, A142, A153, 1, A173, 1, A192, A201, 2
A12, 36, A32, A46, 12612, A62, A73, 1, A93, A101, 4, A124, 47, A143, A153, 1, A173, 2, A192, A201, 2
A13, 24, A34, A42, 3617, A65, A75, 4, A93, A102, 4, A124, 20, A143, A151, 2, A173, 1, A191, A201, 1
A11, 24, A32, A42, 7721, A65, A72, 1, A92, A101, 2, A122, 30, A143, A152, 1, A173, 1, A192, A202, 1
A14, 27, A33, A41, 8613, A64, A73, 2, A93, A101, 2, A123, 27, A143, A152, 2, A173, 1, A191, A201, 1
A11, 27, A32, A43, 3416, A61, A73, 3, A93, A101, 2, A123, 27, A143, A152, 1, A174, 1, A191, A201, 1
A12, 11, A32, A42, 1577, A64, A72, 4, A92, A101, 1, A121, 20, A143, A152, 1, A173, 1, A191, A201, 1
A12, 12, A32, A42, 951, A62, A72, 4, A92, A101, 4, A123, 27, A141, A151, 4, A173, 1, A191, A201, 2
A11, 27, A30, A49, 5293, A61, A71, 2, A93, A101, 4, A122, 50, A142, A152, 2, A173, 1, A192, A201, 2
A13, 12, A32, A42, 2251, A61, A73, 1, A92, A101, 2, A123, 46, A143, A152, 1, A172, 1, A191, A201, 1
A14, 12, A32, A42, 1574, A61, A73, 4, A93, A101, 2, A121, 50, A143, A152, 1, A173, 1, A191, A201, 1
A14, 15, A34, A42, 1520, A65, A75, 4, A93, A101, 4, A122, 63, A143, A152, 1, A173, 1, A191, A201, 1
A12, 48, A33, A410, 7582, A62, A71, 2, A93, A101, 4, A124, 31, A143, A153, 1, A174, 1, A192, A201, 1
A14, 12, A32, A41, 4675, A65, A72, 1, A92, A101, 4, A123, 20, A143, A151, 1, A173, 1, A191, A201, 1
A14, 6, A32, A40, 672, A61, A71, 1, A92, A101, 4, A121, 54, A143, A152, 1, A171, 1, A192, A201, 1
A14, 48, A34, A40, 10127, A63, A73, 2, A93, A101, 2, A124, 44, A141, A153, 1, A173, 1, A191, A201, 2
A12, 9, A32, A40, 276, A61, A73, 4, A94, A101, 4, A121, 22, A143, A151, 1, A172, 1, A191, A201, 1
A12, 12, A32, A40, 685, A61, A74, 2, A94, A101, 3, A123, 25, A141, A152, 1, A172, 1, A191, A201, 2
A12, 30, A34, A40, 4249, A61, A71, 4, A94, A101, 2, A123, 28, A143, A152, 2, A174, 1, A191, A201, 2
A11, 24, A32, A42, 4169, A61, A73, 4, A93, A101, 4, A122, 28, A143, A152, 1, A173, 1, A191, A201, 1
A12, 9, A32, A42, 959, A61, A73, 1, A92, A101, 2, A123, 29, A143, A152, 1, A173, 1, A191, A202, 2
A12, 36, A32, A40, 14318, A61, A75, 4, A93, A101, 2, A124, 57, A143, A153, 1, A174, 1, A192, A201, 2
A14, 24, A33, A49, 8648, A61, A72, 2, A93, A101, 2, A123, 27, A141, A152, 2, A173, 1, A192, A201, 2
A14, 24, A34, A41, 2197, A65, A74, 4, A93, A101, 4, A123, 43, A143, A152, 2, A173, 2, A192, A201, 1
A12, 12, A32, A41, 2028, A65, A73, 4, A93, A101, 2, A123, 30, A143, A152, 1, A173, 1, A191, A201, 1
A13, 12, A32, A42, 1424, A65, A75, 3, A92, A101, 4, A121, 55, A143, A152, 1, A174, 1, A192, A201, 1
A14, 18, A32, A43, 4594, A61, A72, 3, A93, A101, 2, A123, 32, A143, A152, 1, A173, 1, A192, A201, 1
A11, 36, A32, A42, 3620, A61, A73, 1, A93, A103, 2, A122, 37, A143, A152, 1, A173, 2, A191, A201, 1
A11, 9, A32, A40, 654, A61, A73, 4, A93, A101, 3, A123, 28, A143, A152, 1, A172, 1, A191, A201, 2
A11, 30, A32, A42, 3622, A64, A75, 4, A92, A101, 4, A122, 57, A143, A151, 2, A173, 1, A192, A201, 1
A14, 10, A32, A40, 1418, A62, A73, 3, A93, A101, 2, A121, 35, A143, A151, 1, A172, 1, A191, A202, 1
A14, 24, A32, A40, 2255, A65, A72, 4, A93, A101, 1, A122, 54, A143, A152, 1, A173, 1, A191, A201, 1
A11, 6, A34, A40, 1361, A61, A72, 2, A93, A101, 4, A121, 40, A143, A152, 1, A172, 2, A191, A202, 1
A11, 48, A32, A40, 7763, A61, A75, 4, A93, A101, 4, A124, 42, A141, A153, 1, A174, 1, A191, A201, 2
A13, 18, A32, A42, 3049, A61, A72, 1, A92, A101, 1, A122, 45, A142, A152, 1, A172, 1, A191, A201, 1
A11, 30, A32, A42, 6350, A65, A75, 4, A93, A101, 4, A122, 31, A143, A152, 1, A173, 1, A191, A201, 2
A11, 48, A32, A43, 6758, A61, A73, 3, A92, A101, 2, A123, 31, A143, A152, 1, A173, 1, A192, A201, 2
A12, 24, A32, A40, 2718, A61, A73, 3, A92, A101, 4, A122, 20, A143, A151, 1, A172, 1, A192, A201, 2
A14, 15, A32, A41, 1300, A65, A75, 4, A93, A101, 4, A124, 45, A141, A153, 1, A173, 2, A191, A201, 1
A14, 48, A32, A49, 3914, A65, A73, 4, A91, A101, 2, A121, 38, A141, A152, 1, A173, 1, A191, A201, 2
A11, 12, A32, A42, 1858, A61, A72, 4, A92, A101, 1, A123, 22, A143, A151, 1, A173, 1, A191, A201, 1
A11, 18, A32, A43, 2600, A61, A73, 4, A93, A101, 4, A124, 65, A143, A153, 2, A173, 1, A191, A201, 2
A11, 18, A34, A43, 1880, A61, A74, 4, A94, A101, 1, A122, 32, A143, A152, 2, A174, 1, A192, A201, 1
A11, 12, A32, A46, 684, A61, A73, 4, A93, A101, 4, A123, 40, A143, A151, 1, A172, 2, A191, A201, 2
A13, 12, A32, A43, 1297, A61, A73, 3, A94, A101, 4, A121, 23, A143, A151, 1, A173, 1, A191, A201, 1
A12, 30, A31, A42, 3496, A64, A73, 4, A93, A101, 2, A123, 34, A142, A152, 1, A173, 2, A192, A201, 1
A14, 48, A31, A49, 3609, A61, A73, 1, A92, A101, 1, A121, 27, A142, A152, 1, A173, 1, A191, A201, 1
A12, 72, A32, A43, 5595, A62, A73, 2, A94, A101, 2, A123, 24, A143, A152, 1, A173, 1, A191, A201, 2
A12, 30, A33, A49, 2503, A62, A75, 4, A93, A101, 2, A122, 41, A142, A152, 2, A173, 1, A191, A201, 1
A12, 27, A32, A49, 2528, A61, A72, 4, A92, A101, 1, A122, 32, A143, A152, 1, A173, 2, A192, A201, 1
A12, 12, A30, A42, 2969, A61, A72, 4, A92, A101, 3, A122, 25, A143, A151, 2, A173, 1, A191, A201, 2
A11, 6, A31, A46, 1198, A61, A75, 4, A92, A101, 4, A124, 35, A143, A153, 1, A173, 1, A191, A201, 2
A14, 24, A32, A41, 2603, A64, A73, 2, A92, A101, 4, A123, 28, A143, A151, 1, A173, 1, A192, A201, 1
A14, 6, A34, A40, 6761, A61, A74, 1, A93, A101, 3, A124, 45, A143, A152, 2, A174, 2, A192, A201, 1
A11, 12, A34, A40, 691, A61, A75, 4, A93, A101, 3, A122, 35, A143, A152, 2, A173, 1, A191, A201, 2
A14, 15, A34, A40, 5045, A65, A75, 1, A92, A101, 4, A123, 59, A143, A152, 1, A173, 1, A192, A201, 1
A11, 30, A32, A42, 3108, A61, A72, 2, A91, A101, 4, A122, 31, A143, A152, 1, A172, 1, A191, A201, 2
A11, 24, A32, A41, 2812, A65, A75, 2, A92, A101, 4, A121, 26, A143, A151, 1, A173, 1, A191, A201, 1
A12, 9, A32, A40, 1549, A65, A72, 4, A93, A101, 2, A121, 35, A143, A152, 1, A171, 1, A191, A201, 1
A12, 18, A34, A43, 1795, A61, A75, 3, A92, A103, 4, A121, 48, A141, A151, 2, A172, 1, A192, A201, 1
