@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
F, 0.545, 0.425, 0.125, 0.768, 0.294, 0.1495, 0.26, 16
M, 0.365, 0.295, 0.08, 0.2555, 0.097, 0.043, 0.1, 7
I, 0.38, 0.275, 0.1, 0.2255, 0.08, 0.049, 0.085, 10
F, 0.58, 0.45, 0.185, 0.9955, 0.3945, 0.272, 0.285, 11
M, 0.575, 0.425, 0.14, 0.8635, 0.393, 0.227, 0.2, 11
F, 0.575, 0.445, 0.135, 0.883, 0.381, 0.2035, 0.26, 11
F, 0.525, 0.425, 0.16, 0.8355, 0.3545, 0.2135, 0.245, 9
M, 0.445, 0.35, 0.12, 0.4425, 0.192, 0.0955, 0.135, 8
F, 0.53, 0.41, 0.13, 0.6965, 0.302, 0.1935, 0.2, 10
F, 0.4, 0.32, 0.11, 0.353, 0.1405, 0.0985, 0.1, 8
M, 0.57, 0.48, 0.175, 1.185, 0.474, 0.261, 0.38, 11
F, 0.575, 0.445, 0.14, 0.941, 0.3845, 0.252, 0.285, 9
F, 0.575, 0.45, 0.16, 0.9775, 0.3135, 0.231, 0.33, 12
M, 0.47, 0.37, 0.13, 0.5225, 0.201, 0.133, 0.165, 7
F, 0.51, 0.39, 0.135, 0.6335, 0.231, 0.179, 0.2, 9
F, 0.425, 0.33, 0.115, 0.406, 0.1635, 0.081, 0.1355, 8
M, 0.375, 0.285, 0.095, 0.253, 0.096, 0.0575, 0.0925, 9
F, 0.58, 0.455, 0.17, 0.9075, 0.374, 0.2135, 0.285, 13
M, 0.695, 0.55, 0.215, 1.9565, 0.7125, 0.541, 0.59, 14
I, 0.225, 0.16, 0.045, 0.0465, 0.025, 0.015, 0.015, 4
M, 0.58, 0.475, 0.15, 0.97, 0.385, 0.2165, 0.35, 11
M, 0.64, 0.51, 0.175, 1.368, 0.515, 0.266, 0.57, 21
M, 0.62, 0.49, 0.19, 1.218, 0.5455, 0.2965, 0.355, 13
F, 0.63, 0.5, 0.185, 1.383, 0.54, 0.3315, 0.38, 10
F, 0.5, 0.4, 0.145, 0.63, 0.234, 0.1465, 0.23, 12
F, 0.44, 0.34, 0.14, 0.482, 0.186, 0.1085, 0.16, 9
M, 0.47, 0.36, 0.135, 0.501, 0.1665, 0.115, 0.165, 10
F, 0.5, 0.37, 0.135, 0.45, 0.1715, 0.1055, 0.155, 9
F, 0.39, 0.29, 0.125, 0.3055, 0.121, 0.082, 0.09, 7
F, 0.58, 0.465, 0.165, 1.1015, 0.404, 0.2095, 0.35, 11
I, 0.295, 0.225, 0.08, 0.124, 0.0485, 0.032, 0.04, 9
M, 0.56, 0.45, 0.185, 1.07, 0.3805, 0.175, 0.41, 19
M, 0.545, 0.46, 0.16, 0.8975, 0.341, 0.1655, 0.345, 10
F, 0.54, 0.475, 0.155, 0.928, 0.394, 0.194, 0.26, 11
M, 0.63, 0.515, 0.155, 1.259, 0.4105, 0.197, 0.41, 13
M, 0.61, 0.5, 0.24, 1.642, 0.532, 0.3345, 0.69, 18
F, 0.535, 0.415, 0.185, 0.8415, 0.314, 0.1585, 0.3, 15
M, 0.37, 0.28, 0.1, 0.252, 0.1065, 0.0595, 0.074, 8
M, 0.645, 0.515, 0.24, 1.5415, 0.471, 0.369, 0.535, 13
F, 0.63, 0.485, 0.19, 1.2435, 0.4635, 0.3055, 0.39, 21
F, 0.635, 0.535, 0.19, 1.242, 0.576, 0.2475, 0.39, 14
I, 0.355, 0.275, 0.09, 0.251, 0.097, 0.053, 0.08, 7
M, 0.51, 0.4, 0.13, 0.6435, 0.27, 0.1665, 0.205, 12
M, 0.36, 0.295, 0.105, 0.241, 0.0865, 0.053, 0.095, 8
M, 0.62, 0.465, 0.19, 1.3415, 0.5705, 0.3175, 0.355, 11
M, 0.58, 0.455, 0.17, 0.93, 0.408, 0.259, 0.22, 9
F, 0.58, 0.455, 0.12, 1.0735, 0.479, 0.2735, 0.265, 10
M, 0.605, 0.47, 0.18, 1.1405, 0.3755, 0.2805, 0.385, 15
M, 0.475, 0.375, 0.125, 0.593, 0.277, 0.115, 0.18, 10
F, 0.5, 0.395, 0.14, 0.7155, 0.3165, 0.176, 0.24, 10
M, 0.59, 0.485, 0.12, 0.911, 0.39, 0.182, 0.29, 16
M, 0.545, 0.44, 0.12, 0.8565, 0.3475, 0.1715, 0.24, 12
F, 0.41, 0.325, 0.105, 0.3635, 0.159, 0.077, 0.12, 10
F, 0.53, 0.44, 0.135, 0.7835, 0.313, 0.1715, 0.2185, 9
F, 0.515, 0.405, 0.12, 0.646, 0.2895, 0.1405, 0.177, 10
I, 0.43, 0.34, 0.12, 0.3575, 0.151, 0.0645, 0.1045, 9
F, 0.58, 0.46, 0.15, 0.9955, 0.429, 0.212, 0.26, 19
F, 0.57, 0.455, 0.165, 1.0595, 0.44, 0.2195, 0.285, 14
F, 0.64, 0.52, 0.175, 1.248, 0.4245, 0.2595, 0.48, 12
F, 0.62, 0.47, 0.225, 1.115, 0.378, 0.2145, 0.36, 15
F, 0.6, 0.505, 0.19, 1.129, 0.4385, 0.256, 0.36, 13
M, 0.56, 0.46, 0.235, 0.8395, 0.3325, 0.157, 0.305, 12
M, 0.4, 0.29, 0.115, 0.2795, 0.1115, 0.0575, 0.075, 9
M, 0.2, 0.14, 0.055, 0.035, 0.0145, 0.0080, 0.01, 5
I, 0.465, 0.38, 0.13, 0.454, 0.1895, 0.08, 0.155, 11
M, 0.29, 0.23, 0.075, 0.1165, 0.043, 0.0255, 0.04, 7
F, 0.5, 0.375, 0.14, 0.604, 0.242, 0.1415, 0.179, 15
I, 0.535, 0.42, 0.145, 0.926, 0.398, 0.1965, 0.25, 17
M, 0.345, 0.27, 0.09, 0.195, 0.078, 0.0455, 0.059, 9
M, 0.35, 0.265, 0.09, 0.1775, 0.0575, 0.042, 0.068, 12
I, 0.495, 0.37, 0.125, 0.4775, 0.185, 0.0705, 0.169, 18
M, 0.32, 0.24, 0.085, 0.17, 0.0655, 0.047, 0.049, 7
F, 0.425, 0.335, 0.095, 0.322, 0.1205, 0.061, 0.125, 10
M, 0.46, 0.365, 0.125, 0.467, 0.1895, 0.0945, 0.158, 10
M, 0.33, 0.215, 0.075, 0.1145, 0.045, 0.0265, 0.035, 6
F, 0.37, 0.28, 0.11, 0.2305, 0.0945, 0.0465, 0.075, 10
I, 0.45, 0.355, 0.12, 0.412, 0.1145, 0.0665, 0.16, 19
M, 0.475, 0.385, 0.145, 0.6175, 0.235, 0.108, 0.215, 14
F, 0.5, 0.38, 0.155, 0.655, 0.2405, 0.143, 0.205, 17
F, 0.49, 0.385, 0.15, 0.7865, 0.241, 0.14, 0.24, 23
M, 0.535, 0.405, 0.185, 0.8345, 0.3175, 0.1725, 0.29, 16
M, 0.38, 0.29, 0.12, 0.283, 0.1175, 0.0655, 0.085, 9
