@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
M, 0.44, 0.365, 0.125, 0.516, 0.2155, 0.114, 0.155, 10
I, 0.33, 0.255, 0.08, 0.205, 0.0895, 0.0395, 0.055, 7
I, 0.425, 0.3, 0.095, 0.3515, 0.141, 0.0775, 0.12, 8
F, 0.53, 0.415, 0.15, 0.7775, 0.237, 0.1415, 0.33, 20
F, 0.47, 0.355, 0.1, 0.4755, 0.1675, 0.0805, 0.185, 10
M, 0.355, 0.29, 0.09, 0.3275, 0.134, 0.086, 0.09, 9
M, 0.47, 0.37, 0.12, 0.5795, 0.293, 0.227, 0.14, 9
I, 0.325, 0.245, 0.07, 0.161, 0.0755, 0.0255, 0.045, 6
M, 0.405, 0.31, 0.1, 0.385, 0.173, 0.0915, 0.11, 7
M, 0.565, 0.425, 0.135, 0.8115, 0.341, 0.1675, 0.255, 15
M, 0.37, 0.265, 0.075, 0.214, 0.09, 0.051, 0.07, 6
I, 0.375, 0.275, 0.09, 0.238, 0.1075, 0.0545, 0.07, 6
I, 0.385, 0.29, 0.085, 0.2505, 0.112, 0.061, 0.08, 8
M, 0.7, 0.535, 0.16, 1.7255, 0.63, 0.2635, 0.54, 19
F, 0.405, 0.325, 0.11, 0.3555, 0.151, 0.063, 0.117, 9
I, 0.28, 0.205, 0.08, 0.127, 0.052, 0.039, 0.042, 9
M, 0.59, 0.475, 0.145, 1.053, 0.4415, 0.262, 0.325, 15
F, 0.725, 0.56, 0.21, 2.141, 0.65, 0.398, 1.005, 18
M, 0.725, 0.57, 0.19, 2.55, 1.0705, 0.483, 0.725, 14
I, 0.235, 0.16, 0.04, 0.048, 0.0185, 0.018, 0.015, 5
M, 0.57, 0.48, 0.18, 0.9395, 0.399, 0.2, 0.295, 14
F, 0.505, 0.41, 0.15, 0.644, 0.285, 0.145, 0.21, 11
M, 0.64, 0.5, 0.185, 1.3035, 0.4445, 0.2635, 0.465, 16
I, 0.435, 0.34, 0.11, 0.3795, 0.1495, 0.085, 0.12, 8
M, 0.5, 0.405, 0.14, 0.6155, 0.241, 0.1355, 0.205, 9
I, 0.365, 0.27, 0.085, 0.205, 0.078, 0.0485, 0.07, 7
I, 0.44, 0.35, 0.135, 0.435, 0.1815, 0.083, 0.125, 12
I, 0.32, 0.245, 0.08, 0.1585, 0.0635, 0.0325, 0.05, 13
I, 0.305, 0.245, 0.075, 0.156, 0.0675, 0.038, 0.045, 7
F, 0.59, 0.475, 0.16, 1.1015, 0.4775, 0.2555, 0.295, 13
I, 0.245, 0.195, 0.06, 0.095, 0.0445, 0.0245, 0.026, 4
M, 0.59, 0.5, 0.2, 1.187, 0.412, 0.2705, 0.37, 16
M, 0.63, 0.505, 0.225, 1.525, 0.56, 0.3335, 0.45, 15
M, 0.655, 0.54, 0.215, 1.844, 0.7425, 0.327, 0.585, 22
M, 0.635, 0.525, 0.205, 1.484, 0.55, 0.3115, 0.43, 20
M, 0.44, 0.355, 0.125, 0.4775, 0.132, 0.0815, 0.19, 9
M, 0.61, 0.475, 0.165, 1.116, 0.428, 0.2205, 0.315, 15
M, 0.6, 0.495, 0.195, 1.0575, 0.384, 0.19, 0.375, 26
F, 0.54, 0.435, 0.175, 0.892, 0.322, 0.174, 0.335, 13
I, 0.33, 0.255, 0.095, 0.172, 0.066, 0.0255, 0.06, 6
F, 0.4, 0.325, 0.12, 0.3185, 0.134, 0.0565, 0.095, 8
F, 0.505, 0.375, 0.18, 0.568, 0.2325, 0.1495, 0.17, 12
M, 0.49, 0.39, 0.14, 0.707, 0.2795, 0.2185, 0.18, 13
F, 0.59, 0.465, 0.15, 0.997, 0.392, 0.246, 0.34, 12
M, 0.58, 0.465, 0.145, 0.887, 0.4405, 0.1655, 0.265, 11
F, 0.65, 0.545, 0.165, 1.566, 0.6645, 0.3455, 0.415, 16
