@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
M, 0.43, 0.35, 0.11, 0.406, 0.1675, 0.081, 0.135, 10
I, 0.355, 0.28, 0.085, 0.2905, 0.095, 0.0395, 0.115, 7
F, 0.68, 0.55, 0.175, 1.798, 0.815, 0.3925, 0.455, 19
F, 0.54, 0.475, 0.155, 1.217, 0.5305, 0.3075, 0.34, 16
I, 0.21, 0.15, 0.05, 0.042, 0.0175, 0.0125, 0.015, 4
F, 0.475, 0.39, 0.12, 0.5305, 0.2135, 0.1155, 0.17, 10
M, 0.58, 0.45, 0.14, 1.013, 0.38, 0.216, 0.36, 14
F, 0.625, 0.495, 0.165, 1.262, 0.507, 0.318, 0.39, 10
M, 0.55, 0.435, 0.145, 0.843, 0.328, 0.1915, 0.255, 15
I, 0.385, 0.295, 0.085, 0.2535, 0.103, 0.0575, 0.085, 7
F, 0.325, 0.26, 0.09, 0.1915, 0.085, 0.036, 0.062, 7
I, 0.265, 0.2, 0.065, 0.0975, 0.04, 0.0205, 0.028, 7
F, 0.635, 0.515, 0.19, 1.3715, 0.5065, 0.305, 0.45, 10
F, 0.605, 0.485, 0.16, 1.0565, 0.37, 0.2355, 0.355, 10
M, 0.515, 0.405, 0.13, 0.722, 0.32, 0.131, 0.21, 10
M, 0.56, 0.45, 0.16, 0.922, 0.432, 0.178, 0.26, 15
I, 0.405, 0.3, 0.12, 0.324, 0.1265, 0.07, 0.11, 7
F, 0.415, 0.305, 0.13, 0.32, 0.1305, 0.0755, 0.105, 8
I, 0.23, 0.175, 0.065, 0.0645, 0.026, 0.0105, 0.02, 5
M, 0.59, 0.47, 0.18, 1.1235, 0.4205, 0.2805, 0.36, 13
F, 0.535, 0.415, 0.17, 0.879, 0.295, 0.1965, 0.285, 10
M, 0.37, 0.28, 0.105, 0.234, 0.0905, 0.0585, 0.075, 9
F, 0.58, 0.455, 0.155, 0.8365, 0.315, 0.1385, 0.32, 18
I, 0.36, 0.28, 0.09, 0.2255, 0.0885, 0.04, 0.09, 8
F, 0.74, 0.6, 0.195, 1.974, 0.598, 0.4085, 0.71, 16
F, 0.565, 0.45, 0.195, 1.0035, 0.406, 0.2505, 0.285, 15
F, 0.62, 0.51, 0.205, 1.3475, 0.4775, 0.2565, 0.48, 14
M, 0.635, 0.515, 0.17, 1.275, 0.509, 0.286, 0.34, 16
F, 0.6, 0.48, 0.15, 1.029, 0.4085, 0.2705, 0.295, 16
M, 0.535, 0.42, 0.145, 0.791, 0.33, 0.189, 0.25, 10
M, 0.47, 0.38, 0.145, 0.5865, 0.2385, 0.144, 0.185, 8
M, 0.6, 0.5, 0.16, 1.015, 0.3995, 0.1735, 0.33, 19
I, 0.44, 0.345, 0.1, 0.366, 0.122, 0.0905, 0.12, 13
I, 0.385, 0.305, 0.095, 0.252, 0.0915, 0.055, 0.09, 14
F, 0.56, 0.455, 0.19, 0.714, 0.283, 0.129, 0.275, 9
