@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
F, 0.56, 0.44, 0.14, 0.9285, 0.3825, 0.188, 0.3, 11
F, 0.45, 0.335, 0.105, 0.425, 0.1865, 0.091, 0.115, 9
I, 0.52, 0.41, 0.12, 0.595, 0.2385, 0.111, 0.19, 8
M, 0.425, 0.325, 0.095, 0.3785, 0.1705, 0.08, 0.1, 7
M, 0.62, 0.51, 0.175, 1.615, 0.5105, 0.192, 0.675, 12
M, 0.595, 0.475, 0.16, 1.3175, 0.408, 0.234, 0.58, 21
M, 0.625, 0.465, 0.14, 1.195, 0.4825, 0.205, 0.4, 13
M, 0.535, 0.435, 0.15, 0.725, 0.269, 0.1385, 0.25, 9
F, 0.475, 0.375, 0.125, 0.5785, 0.2775, 0.085, 0.155, 10
F, 0.5, 0.4, 0.125, 0.6675, 0.261, 0.1315, 0.22, 10
M, 0.44, 0.34, 0.105, 0.402, 0.1305, 0.0955, 0.165, 10
I, 0.27, 0.195, 0.06, 0.073, 0.0285, 0.0235, 0.03, 5
F, 0.44, 0.35, 0.125, 0.4035, 0.175, 0.063, 0.129, 9
M, 0.475, 0.375, 0.13, 0.5175, 0.2075, 0.1165, 0.17, 10
F, 0.65, 0.545, 0.23, 1.752, 0.5605, 0.2895, 0.815, 16
F, 0.725, 0.575, 0.175, 2.124, 0.765, 0.4515, 0.85, 20
F, 0.62, 0.475, 0.175, 1.0165, 0.4355, 0.214, 0.325, 10
F, 0.63, 0.48, 0.16, 1.199, 0.5265, 0.335, 0.315, 11
M, 0.585, 0.46, 0.185, 0.922, 0.3635, 0.213, 0.285, 10
F, 0.415, 0.325, 0.105, 0.38, 0.1595, 0.0785, 0.12, 12
