@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
M, 0.35, 0.265, 0.09, 0.2255, 0.0995, 0.0485, 0.07, 7
M, 0.49, 0.38, 0.135, 0.5415, 0.2175, 0.095, 0.19, 11
F, 0.55, 0.425, 0.135, 0.8515, 0.362, 0.196, 0.27, 14
M, 0.4, 0.32, 0.095, 0.303, 0.1335, 0.06, 0.1, 7
M, 0.485, 0.36, 0.13, 0.5415, 0.2595, 0.096, 0.16, 10
F, 0.47, 0.36, 0.12, 0.4775, 0.2105, 0.1055, 0.15, 10
F, 0.505, 0.4, 0.125, 0.583, 0.246, 0.13, 0.175, 7
F, 0.595, 0.495, 0.185, 1.285, 0.416, 0.224, 0.485, 13
F, 0.605, 0.45, 0.195, 1.098, 0.481, 0.2895, 0.315, 13
F, 0.6, 0.475, 0.15, 1.0075, 0.4425, 0.221, 0.28, 15
F, 0.6, 0.47, 0.15, 0.922, 0.363, 0.194, 0.305, 10
M, 0.605, 0.47, 0.16, 1.1735, 0.4975, 0.2405, 0.345, 12
F, 0.49, 0.375, 0.135, 0.6125, 0.2555, 0.102, 0.22, 11
M, 0.405, 0.305, 0.085, 0.2605, 0.1145, 0.0595, 0.085, 8
M, 0.56, 0.455, 0.155, 0.797, 0.34, 0.19, 0.2425, 11
F, 0.49, 0.38, 0.125, 0.549, 0.245, 0.1075, 0.174, 10
M, 0.46, 0.35, 0.12, 0.515, 0.224, 0.108, 0.1565, 10
M, 0.61, 0.485, 0.175, 1.2445, 0.544, 0.297, 0.345, 12
F, 0.53, 0.395, 0.145, 0.775, 0.308, 0.169, 0.255, 7
F, 0.51, 0.4, 0.14, 0.8145, 0.459, 0.1965, 0.195, 10
F, 0.45, 0.345, 0.12, 0.4165, 0.1655, 0.095, 0.135, 9
M, 0.42, 0.335, 0.115, 0.369, 0.171, 0.071, 0.12, 8
I, 0.37, 0.28, 0.095, 0.2655, 0.122, 0.052, 0.08, 7
F, 0.49, 0.365, 0.145, 0.6345, 0.1995, 0.1625, 0.22, 10
I, 0.11, 0.09, 0.03, 0.0080, 0.0025, 0.0020, 0.0030, 3
I, 0.16, 0.12, 0.035, 0.021, 0.0075, 0.0045, 0.0050, 5
I, 0.33, 0.255, 0.085, 0.1655, 0.063, 0.039, 0.06, 8
M, 0.35, 0.275, 0.11, 0.2925, 0.1225, 0.0635, 0.0905, 8
I, 0.36, 0.285, 0.105, 0.2415, 0.0915, 0.057, 0.075, 7
M, 0.515, 0.38, 0.175, 0.9565, 0.325, 0.158, 0.31, 14
F, 0.495, 0.4, 0.155, 0.6445, 0.242, 0.1325, 0.205, 17
F, 0.565, 0.505, 0.21, 1.2765, 0.501, 0.279, 0.355, 12
M, 0.57, 0.435, 0.145, 0.9055, 0.3925, 0.2355, 0.275, 10
M, 0.685, 0.52, 0.15, 1.343, 0.4635, 0.292, 0.4, 13
M, 0.47, 0.375, 0.12, 0.5565, 0.226, 0.122, 0.195, 12
M, 0.545, 0.425, 0.135, 0.8445, 0.373, 0.21, 0.235, 10
M, 0.54, 0.42, 0.155, 0.7385, 0.3515, 0.152, 0.215, 12
M, 0.45, 0.355, 0.115, 0.479, 0.2125, 0.1045, 0.15, 8
F, 0.605, 0.495, 0.17, 1.2385, 0.528, 0.2465, 0.39, 14
F, 0.62, 0.47, 0.14, 1.0325, 0.3605, 0.224, 0.36, 15
F, 0.56, 0.455, 0.125, 0.943, 0.344, 0.129, 0.375, 21
F, 0.57, 0.45, 0.175, 0.9555, 0.38, 0.1665, 0.295, 18
I, 0.36, 0.275, 0.095, 0.217, 0.084, 0.0435, 0.09, 7
I, 0.395, 0.295, 0.1, 0.2715, 0.134, 0.0325, 0.085, 10
F, 0.565, 0.455, 0.15, 0.8205, 0.365, 0.159, 0.26, 18
F, 0.665, 0.555, 0.195, 1.4385, 0.581, 0.354, 0.36, 17
F, 0.64, 0.54, 0.175, 1.221, 0.51, 0.259, 0.39, 15
F, 0.585, 0.465, 0.17, 0.9915, 0.3865, 0.224, 0.265, 12
F, 0.52, 0.405, 0.12, 0.627, 0.2645, 0.1415, 0.181, 11
F, 0.465, 0.35, 0.115, 0.421, 0.1565, 0.091, 0.1345, 9
